"Date","DJIA"
"1/3/1994","3756.6"
"1/4/1994","3783.9"
"1/5/1994","3798.82"
"1/6/1994","3803.88"
"1/7/1994","3820.77"
"1/10/1994","3865.51"
"1/11/1994","3850.31"
"1/12/1994","3848.63"
"1/13/1994","3842.43"
"1/14/1994","3867.2"
"1/17/1994","3870.29"
"1/18/1994","3870.29"
"1/19/1994","3884.37"
"1/20/1994","3891.96"
"1/21/1994","3914.48"
"1/24/1994","3912.79"
"1/25/1994","3895.34"
"1/26/1994","3908"
"1/27/1994","3926.3"
"1/28/1994","3945.43"
"1/31/1994","3978.36"
"2/1/1994","3964.01"
"2/2/1994","3975.54"
"2/3/1994","3967.66"
"2/4/1994","3871.42"
"2/7/1994","3906.32"
"2/8/1994","3906.03"
"2/9/1994","3931.92"
"2/10/1994","3895.34"
"2/11/1994","3894.78"
"2/14/1994","3904.06"
"2/15/1994","3928.27"
"2/16/1994","3937.27"
"2/17/1994","3922.64"
"2/18/1994","3887.46"
"2/22/1994","3911.66"
"2/23/1994","3891.68"
"2/24/1994","3839.9"
"2/25/1994","3838.78"
"2/28/1994","3832.02"
"3/1/1994","3809.23"
"3/2/1994","3831.74"
"3/3/1994","3824.42"
"3/4/1994","3832.3"
"3/7/1994","3856.22"
"3/8/1994","3851.72"
"3/9/1994","3853.41"
"3/10/1994","3830.61"
"3/11/1994","3862.7"
"3/14/1994","3862.98"
"3/15/1994","3849.59"
"3/16/1994","3848.15"
"3/17/1994","3865.14"
"3/18/1994","3895.65"
"3/21/1994","3864.85"
"3/22/1994","3862.55"
"3/23/1994","3869.46"
"3/24/1994","3821.09"
"3/25/1994","3774.73"
"3/28/1994","3762.35"
"3/29/1994","3699.02"
"3/30/1994","3626.75"
"3/31/1994","3635.96"
"4/4/1994","3593.35"
"4/5/1994","3675.41"
"4/6/1994","3679.73"
"4/7/1994","3693.26"
"4/8/1994","3674.26"
"4/11/1994","3688.83"
"4/12/1994","3681.69"
"4/13/1994","3661.47"
"4/14/1994","3663.25"
"4/15/1994","3661.47"
"4/18/1994","3620.42"
"4/19/1994","3619.82"
"4/20/1994","3598.71"
"4/21/1994","3652.54"
"4/22/1994","3648.68"
"4/25/1994","3705.78"
"4/26/1994","3699.54"
"4/28/1994","3668.31"
"4/29/1994","3681.69"
"5/2/1994","3701.02"
"5/3/1994","3714.41"
"5/4/1994","3697.75"
"5/5/1994","3695.97"
"5/6/1994","3669.5"
"5/9/1994","3629.04"
"5/10/1994","3656.41"
